 esp1   esp2   esp3  PSI:0.909091 esp1   esp2   esp3  PSI:1 esp1   esp2   esp3  PSI:1.11111 t 
0.160402  -0.212759  -0.437712  0.159692  -0.207032  -0.390752  0.166582  -0.193462  -0.35868  4560
0.160425  -0.21196  -0.438754  0.16051  -0.207834  -0.390692  0.166324  -0.193617  -0.358332  4620
0.160849  -0.212633  -0.438482  0.16026  -0.207686  -0.390271  0.166686  -0.194451  -0.357917  4680
0.161118  -0.211569  -0.439812  0.159539  -0.207385  -0.390035  0.16687  -0.19496  -0.357723  4740
0.161241  -0.21201  -0.439493  0.159332  -0.207493  -0.389627  0.16659  -0.194877  -0.357489  4800
0.16133  -0.212034  -0.439647  0.159381  -0.207302  -0.389997  0.166361  -0.194978  -0.357291  4860
0.160431  -0.211019  -0.439995  0.159939  -0.20796  -0.389957  0.167337  -0.195318  -0.357806  4920
0.160632  -0.210981  -0.440269  0.158517  -0.206925  -0.389617  0.166452  -0.19473  -0.357556  4980
0.160324  -0.211249  -0.439886  0.157882  -0.20557  -0.390649  0.167076  -0.19394  -0.358868  5040
0.160815  -0.212548  -0.439098  0.157706  -0.205364  -0.39079  0.166688  -0.193171  -0.358922  5100
0.161041  -0.212432  -0.439261  0.156357  -0.204533  -0.390368  0.166066  -0.192359  -0.359383  5160
0.160646  -0.212404  -0.439015  0.156125  -0.204962  -0.389732  0.166565  -0.192838  -0.359385  5220
0.160216  -0.212003  -0.439133  0.156229  -0.205045  -0.389617  0.165836  -0.193119  -0.358511  5280
0.1595  -0.211712  -0.438773  0.156403  -0.205178  -0.389588  0.164799  -0.192459  -0.35807  5340
0.159586  -0.212115  -0.438666  0.156158  -0.204327  -0.390139  0.16475  -0.192492  -0.358061  5400
0.159434  -0.211981  -0.438714  0.157174  -0.205063  -0.390232  0.165643  -0.193453  -0.358111  5460
0.159624  -0.212099  -0.438764  0.157218  -0.205511  -0.389986  0.165417  -0.193293  -0.357794  5520
0.1598  -0.212132  -0.439034  0.157054  -0.205068  -0.390169  0.165753  -0.193875  -0.357213  5580
0.159975  -0.212279  -0.439086  0.157015  -0.205481  -0.389872  0.166594  -0.19464  -0.356979  5640
0.159421  -0.211969  -0.439024  0.157952  -0.205896  -0.390285  0.166323  -0.194793  -0.356652  5700
0.160102  -0.212328  -0.439306  0.158647  -0.207167  -0.389614  0.166889  -0.195211  -0.356555  5760
